"(upload image files only)","(Nur Bilddateien hochladen)"
"%s Item(s)","%s Artikel"
"<p>(upload image files only)<\/p>","<p>(Nur Bilddateien hochladen)<\/p>"
"<< Previous Month","Voriger Monat"
"Action","Aktionen"
"Add Event","Event hinzufügen"
"Add Events","Events hinzufügen"
"Address","Anschrift"
"All Events","Alle Events ansehen"
"Attach With Products","Mit Produkt verknüpfen"
"Browse Files...","Dateien Durchsuchen"
"Calendar","Kalender"
"Configuration","Konfiguration"
"Contact Detail","Kontaktdetails"
"Contact Information","Kontaktinformationen"
"Contact Person","Kontaktperson"
"Content","Inhalt"
"Delete Event","Event löschen"
"Description","Beschreibung"
"Disable","deaktivieren"
"Disabled","inaktiv"
"Edit","Bearbeiten"
"Edit Event '%s'","Bearbeite Event '%s'"
"Email","Email"
"Enabled","aktiv"
"End Date","Ende"
"Event End Date","Enddatum"
"Event Ending Date","Enddatum"
"Event Gallery","Event Galerie"
"Event Information","Event Informationen"
"Event information","Event Informationen"
"Event Start Date","Startdatum"
"Event Starting Date","Startdatum"
"Event Url Prefix","Url Prefix"
"Event-Image","Bild"
"Events Calendar","Eventkalender"
"Event end date cannot be less than start date!","Das Enddatum muss kleiner als das Startdatum sein"
"Event was successfully saved","Event wurde erfolgreich gespeichert"
"Export to:","Exportieren als"
"Fax","Fax"
"FME Events","Eventkalender"
"FME Extensions","Eventkalender"
"From:","Beginn"
"From","Beginn"
"Grid","Raster"
"Image Label","Bildbeschriftung"
"Image","Bild"
"Item was successfully deleted","Produkt wurde erfolgreich gelöscht"
"Kategory:","Kategorie:"
"Keywords","Schlagworte"
"List","Liste"
"Manage Events","Events verwalten"
"Meta Data","Meta Daten"
"Meta Informtation","Meta Informtationen"
"Page Title","Seitentitel"
"Paste in video url from Youtube.","Adresse hineinkopieren"
"per page","pro Seite"
"Please attach only one product for an event","Bitte nur ein Produkt pro Event benutzen"
"Please select item(s)","Bitte Produkt(e) auswählen"
"Phone","Telefonnummer"
"Remove","entfernen"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Save Event","Event speichern"
"Select Date","Datum auswählen"
"Show","Zeige"
"Sort Order","Sortierung"
"Status","Status"
"Start Date","Beginn"
"Store View","Store View"
"Title","Name des Events"
"To","Ende"
"Total of %d record(s) were successfully updated","Insgesamt %d Einträge wurden aktualisiert"
"Upload Files","Datei hochladen"
"Url Prefix","Url Prefix"
"Venue","Ort"
"View","Zeige"
"Youtube Video Url","Adresse des Youtube-Videos"

"Go","Los"
"<< Previous Month","<< Vorheriger Monat"
"January","Januar"
"Next Month","Nächster Monat"
"Next Month >>","Nächster Monat >>"
"Event(s) in %s","Event(s) am %s"
"All Events","Alle Events"
"Kategory","Kategorie"
'Sunday','Sonntag'
'Monday','Montag'
'Tuesday','Dienstag'
'Wednesday','Mittwoch'
'Thursday','Donnerstag'
'Friday','Freitag'
'Saturday','Samstag'