"All Sliders","Alle Slider"
"Manage Sliders","Slider verwalten"
"Per Slider","Pro Slider"
"Preview Slider Styles","Slider Styles ansehen"
"Report Banners","Banner melden"
"Settings","Einstellungen"

"Delete Slider","Slider löschen"
"Export to:","Exportieren nach:"
"per page","pro Seite"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Save Slider","Slider speichern"
"View","Zeige"

"-------- Please select a slider --------","-------- Bitte einen Slider auswählen --------"
"Action","Aktion"
"Add Banner","Banner hinzufügen"
"Add Slider","Slider hinzufügen"
"Banner information","Bannerinformationen"
"Banner was successfully saved";"Banner wurde gespeichert"
"Banner of Slider","Zugehörige Banner"
"Banner(s) of Slider","Zugehörige Banner"
"Categories","Kategorien"
"Change status","Status ändern"
"Check All",Alle auswählen"
"Close","Schließen"
"Custom Slider","Angepasst"
"Current Slider","Slider Style"
"Delete","Löschen"
"Disabled","Deaktiv"
"Edit","Bearbeiten"
"Edit Slider '%s'","Bearbeite Slider '%s'"
"Enable","Aktivieren"
"Enabled","Aktiv"
"End Date","Aktiv bis"
"Image","Bild"
"List Slider","Sliderliste"
"No","Nein"
"Order","Sortierung"
"Orderly","Geordnet"
"Preview",Vorschau"
"Preview Slider Styles","Slider Styles Vorschau"
"Random","Zufällig"
"Save","Speichern"
"Select available Slider Styles","Verfügbare Slider-Styles auswählen"
"Select Slider Mode","Slider-Modus"
"Slider was successfully saved","Slider wurde gespeichert"
"Slider's Mode","Slidermodus"
"Sort type","Sortierung"
"Standard Slider","Standard"
"Start date","Aktiv von"
"Start Date","Aktiv von"
"Target","Öffnen in"
"Title","Titel"
"Uncheck All",Keine auswählen"
"Used for SEO","Für SEO"
"Yes","Ja"