"eKomiMeetsMage Configuration","eKomiMeetsMage конфигурация"
"About the eKomiMeetsMage extension", "о eKomiMeetsMage расширение"
"In order to use this extension an eKomi Account is required. If you wish to create a new eKomi account, please find the link to the eKomi website below.", "Для использования этого расширения, требуется зарегистрировать Аккаунт eKomi. Если Вы хотите создать Аккаунт, перейдите ниже по ссылке на сайт eKomi."
"Description:<br/>- Single Store: one eKomi account for all stores.<br/>- Multi Store: each store will use its own eKomi account.<br/><br/>Changing the running type after the initial setup will result in the deletion of all data. All data will have to get imported again.","Описание:<br/>- Single Store: один eKomi Аккаунт для всех магазинов.<br/>- Multi Store: у каждого магазина отдельный Аккаунт.<br/><br/>Изменения в текущей конфигурации имеет повторный набор результатов. (Все данные будут удалены!)."
"eKomi API Configuration", "eKomi API конфигурация"
"Your eKomi API ID", "Ваш eKomi API ID"
"Your eKomi API Password", "Ваш пароль eKomi API"
"You can find the eKomi API ID in your eKomi Customer Interface.", "eKomi API ID вы сможете найти в интерфейсе клиента eKomi."
"You can find the eKomi API Password in your eKomi Customer Interface.", "eKomi API пароль вы сможете найти в интерфейсе клиента eKomi."
"eKomiMeetsMage Konfiguration", "eKomiMeetsMage конфигурация"
"Your API Settings were saved successfully.", "Ваше API настройки сохранены."
"You given eKomi Data could not verify with eKomi. We saved them anyway.", "Введенные вами данные eKomi не смогли пройти проверку верификации. Данные будут сохранены для последующей проверки."
"Verified", "подтвержден"
"Not Verified", "не подтвержден"
"eKomi API Settings", "eKomi API Настройки"
"Choose your Store", "Выберите ваш магазин"
"Choose ...", "Выберите …"
"Choose your runnig mode", "Выберите режим"
"eKomi Product Reviews", "eKomi отзывы о продукте"
"This tab shows you the eKomi product reviews.","Эта вкладка показывает eKomi отзывы продукта."
"Here you can register an eKomi Account.", "Здесь вы можете зарегистрировать учетную запись eKomi."
"Currently no eKomi ratings available yet!", "В данный момент оценок нет!"
"Currently we have no reviews available for this product.", "В данный момент отзывов о продукте нет."
"visible", "видный"
"invisible", "скрытый"
"eKomi Account Details", "eKomi Аккаунт"
"Choose your eKomi running type", "Выберите eKomi режим"
"Running type", "Режим"
"eKomi's Account Name", "Имя eKomi аккаунта"
"eKomi's Feedback Average", "eKomi's средние Оценки"
"API Connection Status", "API состояние соединения"
"Review Overview", "Обзор отзывов"
"eKomiMeetsMage Review Overview", "eKomiMeetsMage Обзор отзывов"
"Product [SKU]", "Продукт [SKU]"
"Rating", "оценка"
"eKomiMeetsMage Sent Status", "eKomiMeetsMage Статус Отпрваки"
"Send status", "Статус Отправки"
"Planed send time", "Запланированные доставки электронной почты"
"Sent time", "Отправлено"
"Order number", "Номер Заказа"
"Firstname", "Имя"
"Lastname", "Фамилия"
"E-Mail", "E-mail"
"not send yet", "еше не-отправлено"
"complete", "закрыто"
"failed", "не удалось"
"pending", "невыполненный"
"Sent status", "Статус Отпрваки"
"Send status", "Статус Отпрваки"
"Send Status", "Статус Отпрваки"
"Sent Status", "Статус Отпрваки"
"eKomi Reviews", "eKomi Отзывы"
"See the last seven reviews of our customers.", "Последние семь Оценок наших Покупателей"
"After a few days of your order, you will receive an e-Mail which asks you for your personal feedback.", "Вы получите через пару дней после заказа E-mail, где сможете написать отзвыв о продукте."
"Configuration", "Настройки"
"Settings", "Опции"
"Resend email", "E-eail еше раз отправить"
"Resent email successfully to %s %s", "Электронное письмо(E-mail) в очередной раз успешно отправлено %s %s."
"Could not send email for following reason: %s", "Электронное письмо(E-mail) не могло быть отправлено:  %s"
"Could not find mail in queue with id %s", "E-mail с ID %s не найдено."
"Could not load mail in queue with having no id.", "E-mail не найдено. Отсутствует ID."
"Choose your store", "Выберите ваш магазин"
"E-Mail Sending Process", "Процесс доставки E-mail"
"Which rating e-mail send type?", "Режим доставки электронной почты?"
"Order status to send out?", "При каком статусе заказа отправлять?"
"Sending e-mail if eKomi days passed", "Отправить E-mail, как дни eKomi достигли"
"Sending e-mail if eKomi days passed and order status valid", "Отправить E-mail когда eKomi дни достигли и заказ был завершен."
"Sending e-mail if order status valid", "Отправить E-mail если статус заказа действительный"
"Activate", "активировать"
"Deactivate", "де-активиротвать"
"Further Settings", "дополнительные Настройки"
"Should we log?", "Должны ли мы писать лог?"
"Logging disabled", "Логгинг де-активировать"
"Logging enabled", "Логгинг активировать"
"You can set logging on or off. You will find the log file in var/log/ekomimeetsmage.log.", "Здесь вы можете включить или выключить логгинг. <br /> Логфайл находится: var/log/ekomimeetsmage.log."
"canceled", "отменен"